DaysSinceLastElection,NextElection,TransactionAmountAdj
1456,2000,4316.64
1451,2000,1211.64
1451,2000,3165.72
1227,2000,1380
1456,2000,103500
1448,2000,69000
1462,2000,27220.5
1459,2000,1992.72
1459,2000,7728
1459,2000,1195.08
1449,2000,331.2
1449,2000,63.48
1449,2000,574.08
1449,2000,129.72
1449,2000,2638.56
1449,2000,6.9
1449,2000,433.32
1445,2000,1352.4
1449,2000,2604.06
1449,2000,2488.14
1444,2000,2779.32
1449,2000,433.32
1449,2000,529.92
1449,2000,338.1
1449,2000,64.86
1449,2000,6243.12
1449,2000,5451
1449,2000,338.1
1381,2000,1380
1332,2000,690
1443,2000,2760
1443,2000,1380
1450,2000,1242
1450,2000,1242
1429,2000,2442.6
1413,2000,828
1396,2000,1185.42
1421,2000,357.42
1429,2000,621
1351,2000,2449.5
1379,2000,121.44
1344,2000,2953.2
1342,2000,636.18
1347,2000,138
1386,2000,9745.56
1400,2000,2185.92
1402,2000,1150.92
1395,2000,244.26
1399,2000,564.42
1383,2000,190.44
1342,2000,694.14
1397,2000,383.64
1350,2000,273.24
1353,2000,1104
1342,2000,442.98
1378,2000,531.3
1362,2000,27.6
1388,2000,4251.78
1416,2000,494.04
1346,2000,1320.66
1374,2000,996.36
1362,2000,1297.2
1347,2000,652.74
1383,2000,1531.8
1409,2000,345
1388,2000,636.18
1387,2000,2362.56
1367,2000,690
1458,2000,1490.4
1362,2000,4411.86
1395,2000,2628.9
1374,2000,193.2
1367,2000,102.12
1374,2000,1592.52
1374,2000,405.72
1412,2000,1076.4
1421,2000,3353.4
1369,2000,5895.36
1421,2000,1723.62
1440,2000,414
1437,2000,2760
1309,2000,423.66
1325,2000,1380
1254,2000,6900
1448,2000,627.9
1336,2000,4614.72
1366,2000,7854.96
1396,2000,16006.62
1290,2000,3450
1408,2000,298.08
1284,2000,6900
1455,2000,4427.04
1455,2000,1407.6
1451,2000,220.8
1451,2000,164.22
1452,2000,254823.9
1445,2000,331.2
1452,2000,153.18
1451,2000,96.6
1455,2000,372.6
1451,2000,138
1455,2000,1552.5
1445,2000,124.2
1451,2000,28.98
1445,2000,322.92
1445,2000,1153.68
1452,2000,320.16
1456,2000,1131.6
1452,2000,178.02
1452,2000,483
1451,2000,165.6
1461,2000,394.68
1445,2000,289.8
1452,2000,419.52
1444,2000,496.8
1444,2000,231.84
1452,2000,496.8
1452,2000,448.5
1445,2000,4140
1457,2000,34293
1456,2000,327.06
1451,2000,104.88
1444,2000,483
1456,2000,5560.02
1451,2000,82.8
1452,2000,110.4
1452,2000,48.3
1444,2000,1236.48
1444,2000,524.4
1452,2000,558.9
1451,2000,60.72
1452,2000,234.6
1451,2000,1366.2
1451,2000,91.08
1451,2000,138
1452,2000,131.1
1444,2000,1299.96
1452,2000,345
1445,2000,690
1452,2000,267.72
1444,2000,1581.48
1451,2000,63.48
1451,2000,1552.5
1452,2000,828
1452,2000,1014.3
1451,2000,24.84
1444,2000,1656
1455,2000,2012.04
1452,2000,165.6
1455,2000,1614.6
1452,2000,110.4
1452,2000,310.5
1456,2000,393.3
1452,2000,303.6
1451,2000,73.14
1451,2000,96.6
1444,2000,2297.7
1452,2000,483
1452,2000,1230.96
1445,2000,157.32
1452,2000,13.8
1455,2000,476.1
1451,2000,552
1445,2000,103.5
1452,2000,55.2
1451,2000,55.2
1456,2000,258.06
1444,2000,1214.4
1452,2000,707.94
1445,2000,2001
1452,2000,204.24
1451,2000,41.4
1452,2000,85.56
1451,2000,82.8
1458,2000,789.36
1452,2000,132.48
1458,2000,196908.06
1445,2000,607.2
1445,2000,85.56
1452,2000,441.6
1452,2000,416.76
1452,2000,135.24
1451,2000,91.08
1445,2000,124.2
1455,2000,1351.02
1451,2000,27.6
1452,2000,414
1456,2000,634.8
1444,2000,10798.5
1448,2000,517.5
1445,2000,5747.7
1452,2000,362.94
1451,2000,165.6
1452,2000,436.08
1452,2000,276
1444,2000,132.48
1452,2000,331.2
1445,2000,200.1
1451,2000,1552.5
1455,2000,2760
1456,2000,7990.2
1451,2000,63.48
1448,2000,317.4
1448,2000,1380
